Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
INS.A.002.ST,0.0164504937351607,0,0.364228196332046,0.379767420815937,0,0.704147365615096,0,0.233403506443748,0,0,0,0.223438759020787,0.252898430530791,0,0.0119643830762126,0.963614377664482,0.0317793540828058,0.41852765332391,0,0.970369722517484,0,0.0708318245517288,0.0600000000000001,0.125960157253088,1.0379578979823,4.64142148771019
INS.A.003.ST,0,0.0246154706582833,0.0257062630345898,0.0978873031406706,0,0.792995316583371,0,0.262066051980416,0,0,0,0.182404161058283,0.164181988094745,0.144349140802772,0.298146767733522,0.721714519718048,0.255158588356031,0,0,3.63811163753135,0.0478312626447745,0.121723005329748,0.07,0.120483067059804,1.14162070155678,6.77689147666661
INS.A.007.ST,1.49318700854775,0.753088417326861,0,1.12388694490881,0,1.53728739774009,0.371411567368407,0.408337738335622,0.00925554670199991,0,0.0171585616956807,0,0.0564809427325114,0.527120347177909,0.579549456271424,0.193322472202567,0.376179562679949,0,0,0.448284451608289,0,0,0,0.37944792724361,0.929174307875629,7.89455041529786
INS.A.010.ST,0.360535176282617,0,0.12515617310615,0.870483191793197,0,1.48855648872925,0,0.143096144633136,0.0657448023542195,0,0,0.347409466950019,0.757842723507986,0.720962355737234,0.0581962356149716,0.819519760716054,0.419127192401799,0.108915930760911,0,3.38989310133366,0.0712271763469764,0.197879552683776,0.1,0.0907668148763216,1.08211363514452,9.94454547295196
INS.A.012.ST,0,0.327447367114459,2.98753348979476,0,0,1.91594539072354,0,0.51904063829315,0,0,0,0.193192209481576,0.0267675862763388,2.06918619842627,0,1.24754085621944,0,1.23030790023439,0.321460603393723,1.15599411101234,0,0,0,0.346289301898095,0.949018103532274,11.99441635097
INS.A.014.ST,0,0.0242400952911968,0.0108624760165027,0.0141086866289752,0,0.207874934577374,0,0.0563543070384345,0,0,0.0618929391711161,0,0.0164830211194817,0.484558259525771,0,0.61883208757071,0,0.0812090764868613,0,0.857814447161833,0,0.0687157366724076,0.02,0.207390466447084,1.04294197095567,2.50294606726066
INS.A.015.ST,0.0251728657342484,0,0.00885159641309027,0.122665681277916,0,0.178746181368672,0,0.113468796261672,0,0,0,0.186696889603476,0.16576064667282,0,0.0523734152330271,0.67181050206749,0,0.0686718799291237,0,2.05968127721668,0,0.169673625140755,0,0.365010037164777,0.988983743307382,3.82357335691897
INS.A.018.ST,0,0,0.0333817080755493,0.00850038204880022,0,0.255843690568096,0,0.0114701576117244,0,0,0.0583467696475446,0.0376610978436963,0.0580216377150619,0.272323034190399,0,0.49012269812266,0,0.216237029953399,0,0.689326231895703,0,0.244921333668954,0.01,0.285107358949895,0.985248896491281,2.37615577134159
INS.A.019.ST,0,0,0.0500852250799588,1.91306026324602,0,0.27443377563207,0.262594125518756,0.46322119243434,0.100536165930774,0.000549238994024869,0,1.07113997412033,0.0459539971947966,0,0.147127987014581,0.616980963766628,0.0583276493351433,0.00254799204957925,1.4818167460163,0,0,0.00984877442951003,0.01,0.28485224399391,0.986804785444338,6.49822407076282
INS.A.023.ST,3.71631714034823,0,1.14955122879004,3.56021443370589,0,5.1099588478318,3.42006409582062,1.11638016491865,0,0,0.583575155267223,0.49917297890353,0.79533144172652,0.271781591059169,2.35204253713941,2.24658645326207,0.495012348909817,0.323385918016164,0,1.32195926825334,0.110368203005064,0,0.02,0.227311112031691,0.995600732279257,27.0717018069575
INS.A.024.ST,0,0.121163455356812,0.0307244939023413,0.220996648687921,0,0.613622508304615,0.370963126102097,0.0637543618915198,0,0,0.221581590472612,0.0417048229659608,0.0447068545767278,0,0.28667614894304,0.417948196339957,0.143363505983856,1.00825737318669,0,0.0862824928042363,0,0.18124315660431,0.02,0.243091459407133,0.99382234395132,3.8529887361227
